Name,Phylum,B:L_sig.x,B:T_sig.x,B:L_W.x,B:T_W.x,L:T_sig.x,L:T_W.x,B:L_sig.y,B:T_sig.y,B:L_W.y,B:T_W.y,L:T_sig.y,L:T_W.y,B:L_sig,B:T_sig,B:L_W,B:T_W,L:T_sig,L:T_W,Average
Acidobacteriales,Acidobacteriota,TRUE,TRUE,10.14040768,7.159144156,FALSE,-0.848335993,FALSE,FALSE,3.219827921,1.029245913,FALSE,-1.70028395,TRUE,TRUE,-8.971631991,-15.45696011,TRUE,-15.66111626,8.965743876
Bryobacterales,Acidobacteriota,FALSE,TRUE,-0.506270872,-9.108111076,TRUE,-12.11811523,TRUE,TRUE,-3.669930292,-12.06503693,TRUE,-10.82981906,TRUE,TRUE,-6.902698129,-18.19535315,TRUE,-21.15450999,1.203590645
Solibacterales,Acidobacteriota,FALSE,TRUE,-1.282789516,-10.57448431,TRUE,-13.27021616,TRUE,TRUE,-5.111339085,-18.16349525,TRUE,-16.15330453,TRUE,TRUE,-11.95611397,-22.34195847,TRUE,-21.50772582,0.863366389
Gaiellales,Actinobacteriota,FALSE,TRUE,-3.063749128,-8.111230257,TRUE,-9.13518892,TRUE,TRUE,-5.103511726,-14.56195422,TRUE,-14.09505965,FALSE,TRUE,-2.589779484,-5.508046093,TRUE,-10.834804,0.662122439
Micrococcales,Actinobacteriota,FALSE,FALSE,-1.31857167,1.6843924,TRUE,4.870077194,TRUE,FALSE,-4.444870891,-0.409929945,TRUE,5.979474475,TRUE,TRUE,5.002395882,9.378903538,FALSE,1.397481669,1.372167927
Streptomycetales,Actinobacteriota,TRUE,TRUE,7.368059986,23.81374456,TRUE,23.20683189,TRUE,TRUE,4.407536909,14.45382359,TRUE,20.84681292,TRUE,TRUE,11.64548513,34.58136404,TRUE,27.74017316,2.602947635
Flavobacteriales,Bacteroidota,TRUE,TRUE,14.0847875,11.50307544,FALSE,1.269803438,FALSE,FALSE,0.395231751,0.699380814,FALSE,0.838364892,TRUE,TRUE,4.269069958,8.193646544,FALSE,1.98479184,0.679698053
Bacillales,Firmicutes,TRUE,TRUE,-4.780402831,-9.130314489,TRUE,-10.02099019,TRUE,TRUE,-5.526851848,-11.42490434,TRUE,-9.559883951,FALSE,TRUE,0.889549248,-21.82726011,TRUE,-30.35281976,2.614280667
Acetobacterales,Proteobacteria,TRUE,TRUE,13.4535653,12.68351855,FALSE,3.213699494,TRUE,TRUE,12.05347367,18.18350668,TRUE,10.10867913,FALSE,TRUE,2.08529285,-4.809496723,TRUE,-13.33278081,1.743919917
Burkholderiales,Proteobacteria,TRUE,TRUE,19.04262599,14.53822897,TRUE,3.401461504,TRUE,TRUE,14.96856953,18.76291243,TRUE,8.845668855,TRUE,TRUE,10.25486682,13.65140159,FALSE,-0.810616363,43.14932447
Caulobacterales,Proteobacteria,TRUE,TRUE,13.65600529,13.48005142,TRUE,6.220608293,TRUE,TRUE,6.388035668,12.60010909,TRUE,12.28290126,TRUE,TRUE,13.77853563,31.73653727,TRUE,17.76987369,2.099025829
Enterobacterales,Proteobacteria,TRUE,TRUE,13.07318756,12.39958816,FALSE,1.876043217,TRUE,TRUE,7.661411894,6.938814207,FALSE,0.205916842,TRUE,TRUE,11.65284311,15.36775156,FALSE,0.671137365,1.329166878
GammaproteobacteriaIncertaeSedis,Proteobacteria,FALSE,FALSE,0.987235526,2.280788976,FALSE,1.737879069,TRUE,TRUE,9.326986085,10.65505299,TRUE,4.335664569,FALSE,TRUE,-0.149101901,18.21378641,TRUE,14.45659175,0.759766188
Micropepsales,Proteobacteria,TRUE,FALSE,3.871998032,-0.296954708,TRUE,-5.347856341,FALSE,TRUE,-0.517373896,-6.140791125,TRUE,-7.772171525,FALSE,FALSE,-1.595825019,-2.552371099,TRUE,-7.027378357,0.604984615
Pseudomonadales,Proteobacteria,TRUE,TRUE,11.22797328,12.12870344,TRUE,7.422924235,TRUE,TRUE,9.258032211,14.08654738,TRUE,8.342358925,TRUE,TRUE,18.73724063,34.59060923,TRUE,17.28939793,2.293567431
Rhizobiales,Proteobacteria,TRUE,TRUE,14.32008271,14.05212615,TRUE,8.069275432,FALSE,FALSE,0.151002091,-0.511932978,FALSE,-0.15702679,TRUE,TRUE,8.502048562,19.76669182,TRUE,7.802977934,8.750091775
Sphingomonadales,Proteobacteria,TRUE,TRUE,13.28084278,12.4590068,TRUE,5.511237583,FALSE,FALSE,-0.248554498,2.320216404,TRUE,3.751371091,TRUE,TRUE,9.57159285,20.48248393,TRUE,9.482326905,4.136958805
Xanthomonadales,Proteobacteria,TRUE,TRUE,7.59697355,7.313807998,FALSE,3.158330656,TRUE,TRUE,4.650287259,9.010592285,TRUE,7.2874063,FALSE,TRUE,-0.702578329,4.053242419,FALSE,-0.324117873,7.598493048